contrato;contrato_siad;status;descricao_do_motivo;data;responsavel;portal_de_compras
DM-026/2023;9407068;Andamento;;2023-12-29 00:00:00;-;2301762 000027/2023
DM-030/2023;9408491;Andamento;;2023-12-29 00:00:00;-;2301762 000027/2023
DM-004/2024;9413969;Andamento;;2024-04-01 00:00:00;-;2301762 000046/2023
DOV-004/2021-A;9292043;Andamento;;2024-03-13 00:00:00;-;2301901 000008/2021
DOV-003/2021-A;9292042;Andamento;;2024-03-13 00:00:00;-;2301901 000008/2021
DM-030/2022;9345525;Andamento;;2024-05-02 00:00:00;-;2301762 000027/2022
DM-018/2023;9400070;Andamento;;2024-05-02 00:00:00;-;2301762 000026/2023
DOV-004/2022-A;9344750;Andamento;;2024-04-09 00:00:00;-;2301901 000009/2021
DM-016/2024;9424337;Andamento;;2024-04-26 00:00:00;-;2301762 000051/2023
DP-001/2022;9340393;Andamento;;2025-04-07 00:00:00;-;1301606 000001/2021
DM-020/2023;9402596;Andamento;;2025-04-20 00:00:00;-;2301762 000022/2023
DP-003/2022;9344767;Andamento;;2025-08-15 00:00:00;-;2301601 000001/2022
DC-013/2023;9402069;Andamento;;2023-12-15 00:00:00;-;2301520 000006/2023
DM-018/2024;9424304;Andamento;;2024-04-24 00:00:00;-;2301762 000051/2023
DM-014/2024;9424302;Andamento;;2024-05-01 00:00:00;-;2301762 000051/2023
DC-002/2023;9388621;Andamento;;2025-01-02 00:00:00;-;2301520 000043/2022
DO-001/2021- C;9275590;Andamento;;2026-03-29 00:00:00;-;2301901 000003/2021
DM-9497685/2026;9497685;Andamento;;2026-05-11 00:00:00;-;2301762 000023/2025
DM-022/2024-A;9427765;Andamento;;2026-05-16 00:00:00;-;2301762 000051/2023
DM-9473163/2025;9473163;Andamento;;2025-08-11 00:00:00;-;2301762 000001/2025
DC-9472756/2025;9472756;Andamento;;2025-08-25 00:00:00;-;2301520 000002/2025
DC-9468321/2025;9468321;Andamento;;2025-08-11 00:00:00;-;2301520 000007/2025
 AEST-9469794/2025;9469794;Andamento;;2025-08-12 00:00:00;-;2301931 000002/2025
AEST-9468573/2025;9468573;Andamento;;2025-09-01 00:00:00;-;2301931 000002/2025
DC-9473949/2025;9473949;Andamento;;2025-09-09 00:00:00;-;2301520 000018/2025
DC-9439838/2024;9439838;Andamento;;2025-09-09 00:00:00;-;2301520 000011/2024
DM-028/2023-B;9408646;Andamento;;2026-02-02 00:00:00;-;2301762 000027/2023
DC-002/2024;9417858;Andamento;;2026-02-02 00:00:00;-;2301520 000001/2024
DM-9492723/2025;9492723;Andamento;;2026-03-01 00:00:00;-;2301762 000024/2025
DC-9491013/2025;9491013;Andamento;;2026-02-23 00:00:00;-;2301520 000028/2025
DM-008/2023;9391551;Andamento;;2023-09-01 00:00:00;-;2301762 000014/2023
DC-012/2022;9344198;Andamento;;2023-09-27 00:00:00;-;2301520 000001/2022
DC-016/2022;9344218;Andamento;;2024-08-01 00:00:00;-;2301520 000011/2022
DM-9440649/2024;9440649;Andamento;;2024-10-23 00:00:00;-;2301762 000008/2024
DM-9440647/2024;9440647;Andamento;;2024-10-23 00:00:00;-;2301762 000008/2024
DC-9444080/2024;9444080;Andamento;;2024-12-13 00:00:00;-;2301520 000017/2024
DM-029/2023-A;9408476;Andamento;;2024-12-29 00:00:00;-;2301762 000027/2023
DM-9471880/2025;9471880;Andamento;;2025-07-22 00:00:00;-;2301762 000001/2025
DC-006/2024;9422285;Andamento;;2025-09-15 00:00:00;-;2301520 000016/2023
DC-9459023/2025;9459023;Andamento;;2026-01-19 00:00:00;-;2301520 000001/2025
DM-033/2021;9313584;Andamento;;2023-08-29 00:00:00;-;2301762 000065/2021
DM-028/2021;9310082;Andamento;;2023-08-29 00:00:00;-;2301762 000032/2021
DM-011/2023;9392828;Andamento;;2023-09-01 00:00:00;-;2301762 000017/2023
DM-010/2023;9392809;Andamento;;2023-09-01 00:00:00;-;2301762 000009/2023
DM-011/2022;9334357;Andamento;;2023-09-15 00:00:00;-;2301762 000086/2021
DM-029/2023;9408476;Andamento;;2023-12-29 00:00:00;-;2301762 000027/2023
DM-025/2023;9408445;Andamento;;2023-12-29 00:00:00;-;2301762 000027/2023
DC-028/2022;9378009;Andamento;;2024-01-29 00:00:00;-;2301520 000047/2022
DP-017/2023;9386097;Andamento;;2024-04-19 00:00:00;-;2301601 000004/2023
DM-22.009/2020-D;9245587;Andamento;;2024-04-06 00:00:00;-;2301762 000042/2019
DM-22.012/2020-D;9245580;Andamento;;2024-03-24 00:00:00;-;2301762 000043/2019
DM-009/2022-B;9327308;Andamento;;2024-04-05 00:00:00;-;2301762 000087/2021
DP-014/2023;9386094;Andamento;;2024-04-19 00:00:00;-;2301601 000004/2023
DM-033/2022;9346265;Andamento;;2024-04-22 00:00:00;-;2301762 000020/2022
DC-9458861/2025;9458861;Andamento;;2025-06-04 00:00:00;-;2301520 000027/2024
DC-001/2024;9416622;Andamento;;2024-03-20 00:00:00;-;2301520 000011/2023
DPEI-9470151;9470151;Andamento;;2025-07-07 00:00:00;-;2301601 000003/2025
DC-9458476/2025;9458476;Andamento;;2025-07-01 00:00:00;-;2301520 000024/2024
DM-9474704/2025;9474704;Andamento;;2025-09-22 00:00:00;-;2301762 000005/2025
DP-023/2023;9393561;Andamento;;2025-09-01 00:00:00;-;2301601 000012/2022
DOV-005/2022-B;9344755;Andamento;;2025-12-09 00:00:00;-;2301901 000009/2021
DC-010/2023;9389500;Andamento;;2026-01-29 00:00:00;-;2301520 000003/2023
DP-026/2023;9393455;Andamento;;2023-11-06 00:00:00;-;2301601 000015/2022
DM-013/2023;9402067;Andamento;;2023-12-01 00:00:00;-;2301762 000013/2023
DM-023/2023;9408490;Andamento;;2023-12-29 00:00:00;-;2301762 000007/2023
DM-019/2023;9401399;Andamento;;2024-02-15 00:00:00;-;2301762 000028/2023
DM-021/2023;9406400;Andamento;;2024-02-15 00:00:00;-;2301762 000029/2023
DM-032/2023;9410180;Andamento;;2024-02-15 00:00:00;-;2301762 000039/2023
DM-031/2023;9410175;Andamento;;2024-02-15 00:00:00;-;2301762 000041/2023
DM-022/2023;9408657;Andamento;;2024-02-15 00:00:00;-;2301762 000031/2023
DM-009/2023;9392817;Andamento;;2024-02-15 00:00:00;-;2301762 000018/2023
DM-020/2023;9402596;Andamento;;2024-02-15 00:00:00;-;2301762 000022/2023
DM-013/2024;9423384;Andamento;;2024-04-18 00:00:00;-;2301762 000049/2023
DM-022/2023;9408657;Andamento;;2024-06-06 00:00:00;-;2301762 000031/2023
AMA-9447965/2025;9447965;Andamento;;2025-02-27 00:00:00;-;2301617 000004/2024
AEST-9468704/2025;9468704;Andamento;;2025-07-07 00:00:00;-;2301931 000002/2025
DM-9471832/2025;9471832;Andamento;;2025-07-15 00:00:00;-;2301762 000001/2025
DM-9471835/2025;9471835;Andamento;;2025-07-21 00:00:00;-;2301762 000001/2025
DM-9452477/2025;9452477;Andamento;;2025-10-01 00:00:00;-;2301762 000019/2024
DM-9459013/2025;9459013;Andamento;;2025-10-08 00:00:00;-;2301762 000020/2024
DP-027/2023;9393457;Andamento;;2025-11-17 00:00:00;-;2301601 000016/2022
DP-24.007/2020;9275619;Andamento;;2023-09-25 00:00:00;-;2301601 000001/2020
DM-029/2021;9310922;Andamento;;2023-11-25 00:00:00;-;2301762 000025/2021
DM-9471830/2025;9471830;Andamento;;2025-08-11 00:00:00;-;2301762 000001/2025
DM-009/2023;9392817;Andamento;;2024-07-22 00:00:00;-;2301762 000018/2023
DM-007/2024;9422060;Andamento;;2025-01-23 00:00:00;-;2301762 000036/2023
DC-007/2024;9424592;Andamento;;2025-03-06 00:00:00;-;2301520 000024/2023
DP-021/2023;9393558;Andamento;;2025-05-16 00:00:00;-;2301601 000010/2022
DOV-002/2021-B;Em andamento;Andamento;;2025-06-13 00:00:00;-;Não Disponível
DOV-001/2021-B;9292037;Andamento;;2025-06-13 00:00:00;-;2301901 000008/2021
DC-014/2022;9345034;Andamento;;2023-09-25 00:00:00;-;2301520 000008/2022
DO-001/2021- B;9275590;Andamento;;2023-10-01 00:00:00;-;2301901 000003/2021
DP-027/2023;9393457;Andamento;;2023-11-06 00:00:00;-;2301601 000016/2022
DP-009/2023;9386090;Andamento;;2023-10-25 00:00:00;-;2301601 000004/2023
DP-016/2023;9386096;Andamento;;2023-10-25 00:00:00;-;2301601 000004/2023
DP-014/2023;9386094;Andamento;;2023-11-09 00:00:00;-;2301601 000004/2023
DM-015/2023;9394312;Andamento;;2023-12-11 00:00:00;-;2301762 000023/2023
DM-016/2023;9394322;Andamento;;2023-12-11 00:00:00;-;2301762 000025/2023
DM-016/2023;9394322;Andamento;;2024-02-19 00:00:00;-;2301762 000025/2023
DM-001/2024;9410177;Andamento;;2024-02-20 00:00:00;-;2301762 000001/2024
DOV-003/2022-A;9344739;Andamento;;2024-04-09 00:00:00;-;2301901 000009/2021
DC-004/2024;9429715;Andamento;;2024-06-17 00:00:00;-;2301520 000020/2023
DM-026/2023-A;9407068;Andamento;;2024-12-29 00:00:00;-;2301762 000027/2023
DF/GTIC-9444079;9444079;Andamento;;2024-12-12 00:00:00;-;2301403 000100/2024
DM-9445821/2024;9445821;Andamento;;2024-12-20 00:00:00;-;2301762 000012/2024
DP-24.007/2020;9275619;Andamento;;2025-02-21 00:00:00;-;2301601 000001/2020
DM-9445781/2024;9445781;Andamento;;2024-12-20 00:00:00;-;2301762 000015/2024
DM-9445782/2024;9445782;Andamento;;2024-12-20 00:00:00;-;2301762 000114/2024
DM-025/2023-A;9422078;Andamento;;2024-12-29 00:00:00;-;2301762 000027/2023
DM-9445784/2024;9445784;Andamento;;2024-12-20 00:00:00;-;2301762 000113/2024
PRC-24.005/2018;9181680;Andamento;;2025-01-07 00:00:00;-;2301520 000013/2017
DPEI-9446143;9446143;Andamento;;2025-05-05 00:00:00;-;2301601 000004/2024
DOV-003/2021-B;9292042;Andamento;;2025-06-13 00:00:00;-;2301901 000008/2021
DC-010/2024;9426807;Andamento;;2025-07-14 00:00:00;-;2301520 000029/2023
DER-30.014/2025;Concluído;Andamento;;2025-04-04 00:00:00;-;Não Disponível
DC-005/2024;9422256;Andamento;;2025-04-14 00:00:00;-;2301520 000025/2023
