contrato;obra;latitude;longitude
DOV-005/2022;Obra 1;-18,8845357;-41,947721
DC-005/2022;Obra 1;;
DC-005/2022;Obra 2;;
DM-019/2022;Obra 1;;
PRC-24.001/2019-ANO 4;Obra 1;-19,9129921;-43,94088469999999
PRC-22.039/2017-E;Obra 1;-21,1994491;-43,7852868
PRC-22.017/2017-C;Obra 1;-16,8555088;-42,0630933
DM-22.005/2020-B;Obra 1;-18,9695443;-49,475721
DM-002/2022;Obra 1;-19,811333378604456;-44,04160730133057
DC-011/2022;Obra 1;;
PRC-24.010/2018-D;Obra 1;-20,4539389;-45,4445009
PRC-22.032/2017-E;Obra 1;-19,638615;-43,228648
DM-22.012/2020-A;Obra 1;-20,735033;-46,6045231
DC-009/2022;Obra 1;;
DC-021/2022;Obra 1;-19,8948501;-43,814814
DC-021/2022;Obra 1;-19,9849058;-43,8469634
DC-021/2022;Obra 1;-19,9307956287238;-43,84924278797184
PRC-22.028/2017-E;Obra 1;-15,9105038;-46,1059978
PRC-22.011/2018;Obra 1;-21,64610930002144;-43,43369695001741
PRC-22.029/2017-B;Obra 1;-18,5967086;-46,5181047
PRC-22.035/2017-B;Obra 1;-16,4381188;-41,0095225
DM-22.012/2020;Obra 1;-20,735033;-46,6045231
PRC-22.020/2017-C;Obra 1;-15,4973126;-44,3722642
DC-22.024/2020;Obra 1;-20,0780728;-44,5635468
PRC-22.019/2017-E;Obra 1;-17,335013;-44,943418
DC-027/2022;Obra 1;-19,449435399999995;-44,77564312031249
DC-027/2022;Obra 1;-19,24413738131933;-44,98763809882813
DM-030/2021;Obra 1;-19,811443;-44,042231
DM-030/2021;Obra 1;-19,811403;-44,043177
PRC-22.042/2017-D;Obra 1;-19,596021;-46,929564
DM-22.004/2020-B;Obra 1;-18,7320337;-47,5006564
PRC-22.023/2018-D;Obra 1;-19,928208;-43,983328
DOV-003/2022;Obra 1;-18,5967086;-46,51810469999999
DC-026/2022;Obra 1;-16,8921514;-40,9254441
DC-026/2022;Obra 1;-16,700397300289573;-40,953443822278174
PRC-22.024/2018-D;Obra 1;-21,1079839;-42,949159
PRC-22.019/2017-C;Obra 1;-17,335013;-44,943418
DP-24.007/2020;Obra 1;-16,2237734;-45,9999091
DO-001/2021;Obra 2;;
PRC-22.017/2017-E;Obra 1;-16,8555088;-42,0630933
PRC-22.030/2017-E;Obra 1;-16,217251;-44,433348
DP-004/2023;Obra 1;-19,919052;-43,9386685
DP-004/2023;Obra 1;-19,9221839;-43,9307411
DM-008/2022;Obra 1;;
DM-22.006/2019-B;Obra 1;-18,9226438;-48,2957901
DM-011/2022;Obra 1;-20,04075666379597;-43,82303521235937
DM-011/2022;Obra 2;-19,996788976361863;-43,910675063643055
DM-030/2022;Obra 1;;
DM-034/2022;Obra 1;;
DC-008/2023;Obra 3;;
DC-008/2023;Obra 2;;
DC-008/2023;Obra 1;;
DM-22.005/2019;Obra 2;;
DM-22.005/2019;Obra 1;;
PRC-22.030/2017-B;Obra 1;-16,217251;-44,433348
DM-005/2022;Obra 1;;
PRC-22.040/2017-E;Obra 1;-18,95121;-41,9528346
DC-22.018/2020;Obra 1;;
DC-22.018/2020;Obra 2;-18,9298507;-48,2931008
DC-011/2021;Obra 3;;
DC-011/2021;Obra 4;;
DC-011/2021;Obra 1;;
DC-011/2021;Obra 2;;
PRC-22.016/2018-D;Obra 1;-22,4315443;-45,4632342
DC-020/2022;Obra 1;-16,0564455;-45,1461072
PRC-22.023/2018-B;Obra 1;-19,928208;-43,983328
PRC-29.008/2017-A;Obra 1;-16,7203311;-43,8541147
DOV-004/2021;Obra 1;;
DC-001/2022;Obra 2;-15,4887575;-44,3620074
DC-001/2022;Obra 2;-15,5529034;-44,5846735
DC-001/2022;Obra 1;-15,5002829;-44,7619267
DC-001/2022;Obra 1;-15,5529034;-44,5846735
PRC-22.022/2017-E;Obra 1;-16,00026;-41,279238
DM-22.009/2020;Obra 1;-20,405398;-42,886629
DC-017/2022;Obra 1;-19,925384;-42,707566
PRC-22.039/2017-B;Obra 1;-21,1994491;-43,7852868
DC-22.019/2020;Obra 1;-21,6005189489128;-43,763214177607
DC-22.019/2020;Obra 1;-21,49863612684167;-43,81126005170853
DM-22.014/2020;Obra 1;;
PRC-22.031/2017-C;Obra 1;-19,7469167;-47,9483714
DM-22.006/2020-A;Obra 1;-20,350449;-41,9526169
DM-22.009/2020-A;Obra 1;-20,405398;-42,886629
DM-003/2021;Obra 1;;
DM-006/2021;Obra 1;;
PRC-22.017/2017-D;Obra 1;-16,8555088;-42,0630933
DOV-002/2022;Obra 1;-21,57993089999999;-45,4427049
DF-012/2021-A;Obra 1;-19,9221839;-43,93074110000001
PRC-22.037/2017-E;Obra 1;-16,7203311;-43,8541147
DM-022/2022;Obra 1;;
PRC-22.025/2017-E;Obra 2;-17,8518635;-41,5076927
DM-22.004/2020-A;Obra 1;-18,7320337;-47,5006564
DC-018/2022;Obra 1;-19,71189189999999;-42,7360955
PRC-22.020/2017-E;Obra 1;-15,4973126;-44,3722642
DC-013/2022;Obra 1;-18,6036292;-43,3789211
DC-013/2022;Obra 1;-18,60852090030961;-43,38857297671336
PRC-22.024/2018-A;Obra 1;-21,1079839;-42,949159
DM-22.005/2020;Obra 1;-18,9695443;-49,475721
PRC-22.024/2018-B;Obra 1;-21,1079839;-42,949159
DM-016/2022;Obra 1;;
DM-22.004/2020-C;Obra 1;-18,7320337;-47,5006564
ATA RP-LOTE 3;Obra 1;-16,433269;-41,00372770000001
ATA RP-LOTE 5;Obra 1;-19,7903044;-45,6820338
PRC-22.023/2018-C;Obra 1;-19,928208;-43,983328
PRC-22.043/2017-D;Obra 1;-17,7408508;-46,1845402
PRC-24.005/2018;Obra 1;-15,9516628;-44,8591023
DM-010/2022;Obra 1;;
DC-006/2022;Obra 2;-16,98468635396247;-46,27828263000265
DC-006/2022;Obra 2;-17,03493425248436;-46,58862620066648
DC-006/2022;Obra 3;-17,0644832;-46,0332181
DC-006/2022;Obra 3;-16,98468635396247;-46,27828263000265
DC-006/2022;Obra 1;-17,01628113570501;-46,20256563499473
DC-006/2022;Obra 1;-17,01953867723072;-46,19723064803961
DM-041/2022;Obra 1;-19,65992539164176;-51,01927355768109
DM-22.008/2020-A;Obra 1;-17,2163174;-46,8691582
PRC-22.041/2017-D;Obra 1;-19,8618029;-44,5829004
DM-040/2022;Obra 1;-20,1603434;-42,95667959999999
DM-040/2022;Obra 1;-20,381521;-42,90241799999999
DM-040/2022;Obra 1;-20,103807;-42,843781
DM-040/2022;Obra 1;-20,16800883049446;-42,92417834544517
DC-003/2023;Obra 1;-19,6621423;-44,2306611
DC-003/2023;Obra 1;-19,707087;-44,557973
DM-032/2022;Obra 1;;
PRC-22.018/2017-D;Obra 1;-17,701729;-42,515515
DC-019/2021;Obra 1;-21,5413627;-43,203354
DC-019/2021;Obra 1;-21,6551108;-43,4341358
PRC-22.031/2017-D;Obra 1;-19,7469167;-47,9483714
DP-006/2023;Obra 1;-19,8285805;-44,1506651
PRC-22.043/2017-E;Obra 1;-17,7408508;-46,1845402
PRC-22.038/2017-E;Obra 1;-18,7593183;-44,4319352
PRC-22.023/2018-E;Obra 1;-19,928208;-43,983328
PRC-22.017/2018-E;Obra 1;-21,7876304;-46,5421144
DM-22.010/2020-C;Obra 1;;
DP-005/2023;Obra 1;-16,383047252618034;-45,07263857852988
DP-005/2023;Obra 1;-16,37403835020785;-45,06046264947597
DP-005/2023;Obra 1;-16,38176533228131;-45,08035449211205
PRC-24.010/2018-E;Obra 1;-20,4539389;-45,4445009
DM-006/2023;Obra 1;;
PRC-22.016/2018-E;Obra 1;-22,4315443;-45,4632342
DP-007/2023;Obra 1;-18,9127749;-48,2755227
DP-013/2023;Obra 1;-18,5967086;-46,51810469999999
DP-018/2023;Obra 1;-21,57993089999999;-45,4427049
DP-017/2023;Obra 1;-19,9276133;-43,98331659999999
DP-016/2023;Obra 1;-21,7407769;-43,362801
DM-008/2023;Obra 1;-19,8611109;-43,90497490000001
ASG-002/2021;Obra 1;-19,9223139;-43,9306754
PRC-22.043/2017-B;Obra 1;-17,7408508;-46,1845402
DC-007/2021;Obra 1;-19,6688772;-42,5313457
PRC-22.038/2017-C;Obra 1;-18,7593183;-44,4319352
PRC-22.015/2017-D;Obra 1;-19,5068923;-42,6044222
PRC-22.020/2017-D;Obra 1;-15,4973126;-44,3722642
DC-020/2021;Obra 1;;
PRC-22.025/2017-D;Obra 2;-17,8518635;-41,5076927
DC-22.013/2020;Obra 1;-16,7689281;-43,8420865
DC-008/2022;Obra 1;-15,5529034;-44,5846735
DC-008/2022;Obra 1;-15,5396488;-44,7229233
DM-22.011/2020-C;Obra 1;-20,4539389;-45,4445009
PRC-22.025/2017-C;Obra 2;-17,8518635;-41,5076927
DC-002/2022;Obra 1;-21,418824798484536;-42,72025222390585
DC-002/2022;Obra 1;-21,420951252393166;-42,67141291140904
DM-22.008/2020-B;Obra 1;-17,2163174;-46,8691582
DM-22.007/2020-B;Obra 1;-16,1638869;-42,2827817
DOV-001/2022;Obra 1;-19,9221839;-43,93074110000001
DOV-001/2022;Obra 2;-19,9221839;-43,93074110000001
DC-023/2022;Obra 1;-19,5851791;-46,9447957
DC-024/2022;Obra 1;-20,9655864;-43,0233967
DC-024/2022;Obra 1;-20,874718;-42,981797
PRC-22.035/2017-E;Obra 1;-16,4381188;-41,0095225
DI-22.001/2020;Obra 4;-20,13155608035116;-44,20953306615256
DI-22.001/2020;Obra 1;-20,1241164;-44,2195995
DI-22.001/2020;Obra 2;-20,13835899999999;-44,21484049999999
DI-22.001/2020;Obra 3;-20,1378041;-44,2154482
DC-008/2021;Obra 1;;
DM-005/2021;Obra 1;;
DM-22.010/2019-B;Obra 1;-19,928208;-43,983328
DM-001/2022;Obra 1;;
DM-22.009/2020-B;Obra 1;-20,405398;-42,886629
ASG-001/2021;Obra 1;-19,9223139;-43,9306754
DM-035/2021;Obra 1;;
DM-031/2022;Obra 1;;
DM-017/2021;Obra 1;-21,346132;-43,511186
DM-031/2021;Obra 1;;
PRC-22.029/2017-C;Obra 1;-18,5967086;-46,5181047
DM-007/2021;Obra 1;;
DM-011/2021;Obra 1;;
DM-028/2022;Obra 1;;
DC-016/2022;Obra 1;-18,353964135867955;-48,22976829669632
DC-016/2022;Obra 1;-18,532925;-48,1959007
DP-004/2022;Obra 1;-19,441643;-44,4738331
DP-004/2022;Obra 1;-19,4558178;-44,3940728
DP-004/2022;Obra 1;-19,4903365;-44,3938468
DP-004/2022;Obra 1;-19,455176;-44,393784
DP-004/2022;Obra 1;-19,455341;-44,394569
DP-004/2022;Obra 1;-19,4494503;-44,7384839
DP-004/2022;Obra 1;-19,4492371;-44,7492415
DP-004/2022;Obra 1;-22,9071381;-43,5967676
DP-004/2022;Obra 1;-19,4556607;-44,394163
DP-004/2022;Obra 1;-19,455146;-44,393704
DP-004/2022;Obra 1;-19,454612;-44,39371999999999
DP-004/2022;Obra 1;-19,4218367;-44,48273
DP-004/2022;Obra 1;-19,2901547;-44,6601448
DP-004/2022;Obra 1;-19,4891796;-44,3779449
DP-004/2022;Obra 1;-19,4467053;-44,74757289999999
DP-004/2022;Obra 1;-19,4312741;-44,4334953
DP-004/2022;Obra 1;-19,4416431;-44,4738331
DM-22.011/2020;Obra 1;-20,4539389;-45,4445009
PRC-22.032/2017-B;Obra 1;-19,638615;-43,228648
PRC-22.035/2017-D;Obra 1;-16,4381188;-41,0095225
DM-027/2022;Obra 1;;
DM-22.010/2020-B;Obra 1;;
PRC-22.013/2018-E;Obra 1;-21,5799309;-45,4427049
PRC-22.026/2017-B;Obra 1;-20,6829764;-44,8232506
DM-22.006/2020;Obra 1;-20,350449;-41,9526169
PRC-29.012/2016-D;Obra 1;;
DM-22.003/2020-A;Obra 1;-21,7407769;-43,362801
