contrato;contrato_siad;obra;municipio;portal_de_compras
DM-22.003/2020-A;9245004;Obra 1;Belmiro Braga;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Bicas;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Bocaina de Minas;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Bom Jardim de Minas;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Chiador;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Chácara;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Coronel Pacheco;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Estrela Dalva;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Ewbank da Câmara;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Goiana;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Goianá;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Guarará;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Juiz de Fora;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Laranjal;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Laranjal;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Leopoldina;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Liberdade;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Lima Duarte;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Madre de Deus de Minas;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Mar de Espanha;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Maripá de Minas;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Matias Barbosa;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Olaria;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Palma;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Passa Vinte;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Pedro Teixeira;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Pequeri;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Piau;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Pirapetinga;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Recreio;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Rio Novo;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Rio Preto;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Rochedo de Minas;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Santa Bárbara do Monte Verde;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Santa Rita de Jacutinga;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Santana do Deserto;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Santo Antônio do Aventureiro;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Santos Dumont;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Senador Cortes;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Simão Pereira;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;São João Nepomuceno;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;São Vicente de Minas;2301762 000044/2019
DM-22.003/2020-A;9245004;Obra 1;Volta Grande;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Além Paraíba;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Andrelândia;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Arantina;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Argirita;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Belmiro Braga;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Bicas;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Bocaina de Minas;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Bom Jardim de Minas;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Chiador;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Chácara;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Coronel Pacheco;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Estrela Dalva;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Ewbank da Câmara;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Goiana;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Goianá;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Guarará;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Juiz de Fora;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Laranjal;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Laranjal;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Leopoldina;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Liberdade;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Lima Duarte;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Madre de Deus de Minas;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Mar de Espanha;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Maripá de Minas;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Matias Barbosa;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Olaria;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Palma;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Passa Vinte;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Pedro Teixeira;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Pequeri;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Piau;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Pirapetinga;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Recreio;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Rio Novo;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Rio Preto;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Rochedo de Minas;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Santa Bárbara do Monte Verde;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Santa Rita de Jacutinga;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Santana do Deserto;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Santo Antônio do Aventureiro;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Santos Dumont;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Senador Cortes;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Simão Pereira;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;São João Nepomuceno;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;São Vicente de Minas;2301762 000044/2019
DM-22.003/2020-B;9245004;Obra 1;Volta Grande;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Além Paraíba;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Andrelândia;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Arantina;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Argirita;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Belmiro Braga;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Bicas;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Bocaina de Minas;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Bom Jardim de Minas;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Chiador;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Chácara;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Coronel Pacheco;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Estrela Dalva;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Ewbank da Câmara;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Goiana;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Goianá;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Guarará;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Juiz de Fora;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Laranjal;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Laranjal;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Leopoldina;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Liberdade;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Lima Duarte;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Madre de Deus de Minas;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Mar de Espanha;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Maripá de Minas;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Matias Barbosa;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Olaria;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Palma;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Passa Vinte;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Pedro Teixeira;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Pequeri;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Piau;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Pirapetinga;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Recreio;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Rio Novo;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Rio Preto;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Rochedo de Minas;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Santa Bárbara do Monte Verde;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Santa Rita de Jacutinga;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Santana do Deserto;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Santo Antônio do Aventureiro;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Santos Dumont;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Senador Cortes;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Simão Pereira;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;São João Nepomuceno;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;São Vicente de Minas;2301762 000044/2019
DM-22.003/2020-C;9245004;Obra 1;Volta Grande;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Além Paraíba;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Andrelândia;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Arantina;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Argirita;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Belmiro Braga;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Bicas;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Bocaina de Minas;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Bom Jardim de Minas;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Chiador;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Chácara;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Coronel Pacheco;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Estrela Dalva;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Ewbank da Câmara;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Goiana;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Goianá;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Guarará;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Juiz de Fora;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Laranjal;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Laranjal;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Leopoldina;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Liberdade;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Lima Duarte;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Madre de Deus de Minas;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Mar de Espanha;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Maripá de Minas;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Matias Barbosa;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Olaria;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Palma;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Passa Vinte;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Pedro Teixeira;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Pequeri;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Piau;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Pirapetinga;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Recreio;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Rio Novo;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Rio Preto;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Rochedo de Minas;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Santa Bárbara do Monte Verde;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Santa Rita de Jacutinga;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Santana do Deserto;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Santo Antônio do Aventureiro;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Santos Dumont;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Senador Cortes;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Simão Pereira;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;São João Nepomuceno;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;São Vicente de Minas;2301762 000044/2019
DM-22.003/2020-D;9245004;Obra 1;Volta Grande;2301762 000044/2019
DM-22.004/2020;9245547;Obra 1;Abadia dos Dourados;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Araguari;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Cascalho Rico;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Coromandel;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Cruzeiro da Fortaleza;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Douradoquara;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Estrela do Sul;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Grupiara;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Guimarânia;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Iraí de Minas;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Monte Carmelo;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Nova Ponte;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Patrocínio;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Romaria;2301762 000039/2019
DM-22.004/2020;9245547;Obra 1;Uberlândia;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Abadia dos Dourados;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Araguari;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Cascalho Rico;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Coromandel;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Cruzeiro da Fortaleza;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Douradoquara;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Estrela do Sul;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Grupiara;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Guimarânia;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Iraí de Minas;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Monte Carmelo;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Nova Ponte;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Patrocínio;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Romaria;2301762 000039/2019
DM-22.004/2020-A;9245547;Obra 1;Uberlândia;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Abadia dos Dourados;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Araguari;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Cascalho Rico;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Coromandel;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Cruzeiro da Fortaleza;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Douradoquara;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Estrela do Sul;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Grupiara;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Guimarânia;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Iraí de Minas;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Monte Carmelo;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Nova Ponte;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Patrocínio;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Romaria;2301762 000039/2019
DM-22.004/2020-B;9245547;Obra 1;Uberlândia;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Abadia dos Dourados;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Araguari;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Cascalho Rico;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Coromandel;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Cruzeiro da Fortaleza;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Douradoquara;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Estrela do Sul;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Grupiara;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Guimarânia;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Iraí de Minas;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Monte Carmelo;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Nova Ponte;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Patrocínio;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Romaria;2301762 000039/2019
DM-22.004/2020-C;9245547;Obra 1;Uberlândia;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Abadia dos Dourados;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Araguari;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Cascalho Rico;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Coromandel;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Cruzeiro da Fortaleza;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Douradoquara;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Estrela do Sul;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Grupiara;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Guimarânia;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Iraí de Minas;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Monte Carmelo;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Nova Ponte;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Patrocínio;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Romaria;2301762 000039/2019
DM-22.004/2020-D;9245547;Obra 1;Uberlândia;2301762 000039/2019
DM-22.005/2019;9220723;Obra 1;Fervedouro;2301762 000005/2019
DM-22.005/2019;9220723;Obra 1;Manhumirim;2301762 000005/2019
DM-22.005/2019;9220723;Obra 2;Carangola;2301762 000005/2019
DM-22.005/2019;9220723;Obra 2;Manhumirim;2301762 000005/2019
DM-22.005/2020;9245589;Obra 1;Cachoeira Dourada;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Campina Verde;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Canápolis;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Capinópolis;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Carneirinho;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Gurinhatã;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Ipiaçu;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Ituiutaba;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Iturama;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Limeira do Oeste;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Prata;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Santa Vitória;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;Uberlândia;2301762 000038/2019
DM-22.005/2020;9245589;Obra 1;União de Minas;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Cachoeira Dourada;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Campina Verde;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Canápolis;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Capinópolis;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Carneirinho;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Gurinhatã;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Ipiaçu;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Ituiutaba;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Iturama;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Limeira do Oeste;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Prata;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Santa Vitória;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;Uberlândia;2301762 000038/2019
DM-22.005/2020-A;9245589;Obra 1;União de Minas;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Cachoeira Dourada;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Campina Verde;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Canápolis;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Capinópolis;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Carneirinho;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Gurinhatã;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Ipiaçu;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Ituiutaba;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Iturama;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Limeira do Oeste;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Prata;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Santa Vitória;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;Uberlândia;2301762 000038/2019
DM-22.005/2020-B;9245589;Obra 1;União de Minas;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Cachoeira Dourada;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Campina Verde;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Canápolis;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Capinópolis;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Carneirinho;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Gurinhatã;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Ipiaçu;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Ituiutaba;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Iturama;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Limeira do Oeste;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Prata;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;Santa Vitória;2301762 000038/2019
DM-22.005/2020-C;9245589;Obra 1;União de Minas;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Cachoeira Dourada;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Campina Verde;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Canápolis;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Capinópolis;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Carneirinho;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Gurinhatã;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Ipiaçu;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Ituiutaba;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Iturama;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Limeira do Oeste;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Prata;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Santa Vitória;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;Uberlândia;2301762 000038/2019
DM-22.005/2020-D;9245589;Obra 1;União de Minas;2301762 000038/2019
DM-22.006/2019-A;9220725;Obra 1;Araguari;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Araporã;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Canápolis;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Centralina;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Ibiá;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Indianópolis;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Monte Alegre de Minas;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Nova Ponte;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Patrocínio;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Prata;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Serra do Salitre;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Tupaciguara;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Uberaba;2301762 000043/2017
DM-22.006/2019-A;9220725;Obra 1;Uberlândia;2301762 000043/2017
DM-22.006/2019-B;9220725;Obra 1;Araguari;2301762 000043/2017
DM-22.006/2019-B;9220725;Obra 1;Araporã;2301762 000043/2017
DM-22.006/2019-B;9220725;Obra 1;Canápolis;2301762 000043/2017
DM-22.006/2019-B;9220725;Obra 1;Centralina;2301762 000043/2017
DM-22.006/2019-B;9220725;Obra 1;Ibiá;2301762 000043/2017
DM-22.006/2019-B;9220725;Obra 1;Indianópolis;2301762 000043/2017
