contrato;contrato_siad;obra;municipio;portal_de_compras
DC-003/2021;Rescindido;Obra 1;Marliéria;2301520 000001/2021
DC-003/2022;9321339;Obra 1;Barão de Cocais;2301520 000028/2021
DC-003/2022;9321339;Obra 1;Caeté;2301520 000028/2021
DC-003/2023;9373305;Obra 1;Esmeraldas;2301520 000039/2022
DC-003/2023;9373305;Obra 1;São José da Varginha;2301520 000039/2022
DC-003/2024;9417863;Obra 1;Pintópolis;2301520 000001/2024
DC-003/2024;9417863;Obra 1;Urucuia;2301520 000001/2024
DC-004/2022;9327456;Obra 1;Três Pontas;1301608 000003/2021
DC-004/2022;9327456;Obra 1;Varginha;1301608 000003/2021
DC-004/2022;9327456;Obra 2;Três Pontas;1301608 000003/2021
DC-004/2024;9429715;Obra 1;Mercês;2301520 000020/2023
DC-004/2024;9429715;Obra 1;Piraúba;2301520 000020/2023
DC-004/2024;9429715;Obra 1;Ressaquinha;2301520 000020/2023
DC-004/2024;9429715;Obra 1;Rio Pomba;2301520 000020/2023
DC-005/2022;9327347;Obra 1;Pimenta;2301520 000030/2021
DC-005/2022;9327347;Obra 2;Pimenta;2301520 000030/2021
DC-005/2023;9382509;Obra 1;Caeté;2301520 000050/2022
DC-005/2023;9382509;Obra 1;Contagem;2301520 000050/2022
DC-005/2023;9382509;Obra 1;Sabará;2301520 000050/2022
DC-005/2023;9382509;Obra 2;Caeté;2301520 000050/2022
DC-005/2023;9382509;Obra 2;Contagem;2301520 000050/2022
DC-005/2023;9382509;Obra 2;Sabará;2301520 000050/2022
DC-005/2024;9422256;Obra 1;Araxá;2301520 000025/2023
DC-006/2021;9292030;Obra 1;Crisólita;2301520 000003/2021
DC-006/2021;9292030;Obra 1;Novo Oriente de Minas;2301520 000003/2021
DC-006/2021;9292030;Obra 1;Pavão;2301520 000003/2021
DC-006/2021;9292030;Obra 1;Teófilo Otoni;2301520 000003/2021
DC-006/2021;9292030;Obra 1;Águas Formosas;2301520 000003/2021
DC-006/2022;9342951;Obra 1;Brasilândia de Minas;2301520 000034/2021
DC-006/2022;9342951;Obra 1;João Pinheiro;2301520 000034/2021
DC-006/2022;9342951;Obra 1;Paracatu;2301520 000034/2021
DC-006/2022;9342951;Obra 2;Brasilândia de Minas;2301520 000034/2021
DC-006/2022;9342951;Obra 2;João Pinheiro;2301520 000034/2021
DC-006/2022;9342951;Obra 2;Paracatu;2301520 000034/2021
DC-006/2022;9342951;Obra 2;Unaí;2301520 000034/2021
DC-006/2022;9342951;Obra 3;Brasilândia de Minas;2301520 000034/2021
DC-006/2022;9342951;Obra 3;João Pinheiro;2301520 000034/2021
